OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
1,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60412,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
2,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60412,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
3,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60413,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
4,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60413,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
5,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60414,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
6,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60414,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
7,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60417,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
8,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60417,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
9,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60418,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
10,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60418,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
11,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60419,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
12,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60419,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
13,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60420,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
14,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60420,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
15,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60423,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
16,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60423,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
17,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60606,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
18,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60606,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
19,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60607,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
20,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,60607,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
21,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63026,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
22,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63026,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
23,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63027,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
24,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63027,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
25,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63029,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
26,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63029,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
27,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63030,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
28,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,63030,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
29,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65320,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
30,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65320,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
31,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65460,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
32,SC,23,0,SC-23-0,23 ALUM ROCK TRANSIT CTR,65460,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
33,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60426,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
34,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60426,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
35,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60428,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
36,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60428,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
37,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60430,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
38,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60430,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
39,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60431,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
40,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60431,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
41,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60432,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
42,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60432,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
43,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60433,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
44,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60433,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
45,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60434,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
46,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60434,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
47,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60435,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
48,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60435,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
49,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60438,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
50,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60438,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
51,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60439,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
52,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60439,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
53,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60618,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
54,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60618,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
55,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60619,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
56,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,60619,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
57,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,63067,19,AM Peak,NA,Existing/Built,NA,Bus,13,5
58,SC,23,1,SC-23-1,23 DE ANZA COLLEGE,63067,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
59,SF,9,1,SF-9-1,Bayshore Boulevard,16359,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
60,SF,21,1,SF-21-1,Ferry Plaza,15000,26,PM Peak,NA,Existing/Built,NA,Bus,9,4
61,SC,522,1,SC-522-1,522 RAPID EASTRIDGE,65856,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
62,SF,9,1,SF-9-1,Bayshore Boulevard,16359,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
63,SF,9,1,SF-9-1,Bayshore Boulevard,16361,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
64,SC,522,1,SC-522-1,522 RAPID EASTRIDGE,65856,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
65,SF,14,1,SF-14-1,Ferry Plaza,15593,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
66,SF,9,1,SF-9-1,Bayshore Boulevard,16361,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
67,SC,522,1,SC-522-1,522 RAPID EASTRIDGE,65858,18,AM Peak,NA,Existing/Built,NA,Bus,13,5
68,SF,21,1,SF-21-1,Ferry Plaza,15000,28,AM Peak,NA,Existing/Built,NA,Bus,9,5
69,SF,5R,0,SF-5R-0,Ocean Beach,14742,37,PM Peak,NA,Existing/Built,NA,Bus,6,4
70,SF,9,1,SF-9-1,Bayshore Boulevard,16365,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
71,SF,9,1,SF-9-1,Bayshore Boulevard,16365,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
72,SF,5R,0,SF-5R-0,Ocean Beach,14742,37,PM Peak,NA,Existing/Built,NA,Bus,6,4
73,SF,21,1,SF-21-1,Ferry Plaza,15002,26,PM Peak,NA,Existing/Built,NA,Bus,9,4
74,SF,9,1,SF-9-1,Bayshore Boulevard,16366,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
75,SF,14,1,SF-14-1,Ferry Plaza,15595,19,PM Peak,NA,Existing/Built,NA,Bus,13,4
76,SF,5R,0,SF-5R-0,Ocean Beach,14746,30,AM Peak,NA,Existing/Built,NA,Bus,8,5
77,SF,21,1,SF-21-1,Ferry Plaza,15002,28,AM Peak,NA,Existing/Built,NA,Bus,9,5
78,SF,9,1,SF-9-1,Bayshore Boulevard,16366,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
79,SF,14,1,SF-14-1,Ferry Plaza,15595,19,PM Peak,NA,Existing/Built,NA,Bus,13,4
80,SF,5R,0,SF-5R-0,Ocean Beach,14746,30,AM Peak,NA,Existing/Built,NA,Bus,8,5
81,SC,522,1,SC-522-1,522 RAPID EASTRIDGE,65858,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
82,SF,21,1,SF-21-1,Ferry Plaza,15004,26,PM Peak,NA,Existing/Built,NA,Bus,9,4
83,SF,9,1,SF-9-1,Bayshore Boulevard,16369,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
84,SF,14,1,SF-14-1,Ferry Plaza,15595,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
85,SF,5R,0,SF-5R-0,Ocean Beach,14746,37,PM Peak,NA,Existing/Built,NA,Bus,6,4
86,SC,70,0,SC-70-0,70 GREAT MALL,63507,16,AM Peak,NA,Existing/Built,NA,Bus,15,5
87,SF,21,1,SF-21-1,Ferry Plaza,15004,28,AM Peak,NA,Existing/Built,NA,Bus,9,5
88,SF,9,1,SF-9-1,Bayshore Boulevard,16369,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
89,SF,9,1,SF-9-1,Bayshore Boulevard,16372,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
90,SF,9,1,SF-9-1,Bayshore Boulevard,16372,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
91,SF,9,1,SF-9-1,Bayshore Boulevard,17227,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
92,SF,9,1,SF-9-1,Bayshore Boulevard,17227,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
93,SF,9,1,SF-9-1,Bayshore Boulevard,17520,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
94,SF,9,1,SF-9-1,Bayshore Boulevard,17520,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
95,SF,9,1,SF-9-1,Bayshore Boulevard,17809,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
96,SF,9,1,SF-9-1,Bayshore Boulevard,17809,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
97,SF,9,1,SF-9-1,Bayshore Boulevard,17888,17,AM Peak,NA,Existing/Built,NA,Bus,14,5
98,SF,9,1,SF-9-1,Bayshore Boulevard,17888,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
99,SF,9R,0,SF-9R-0,Cow Palace,13239,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
100,SF,9R,0,SF-9R-0,Cow Palace,13245,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
101,SF,9R,0,SF-9R-0,Cow Palace,13772,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
102,SF,9R,0,SF-9R-0,Cow Palace,13779,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
103,SF,9R,0,SF-9R-0,Cow Palace,13783,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
104,SF,9R,0,SF-9R-0,Cow Palace,15335,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
105,SF,9R,0,SF-9R-0,Cow Palace,15639,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
106,SF,9R,0,SF-9R-0,Cow Palace,15655,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
107,SF,9R,0,SF-9R-0,Cow Palace,15656,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
108,SF,9R,0,SF-9R-0,Cow Palace,15657,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
109,SF,9R,0,SF-9R-0,Cow Palace,15676,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
110,SF,9R,0,SF-9R-0,Cow Palace,15678,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
111,SF,9R,0,SF-9R-0,Cow Palace,15680,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
112,SF,9R,0,SF-9R-0,Cow Palace,15694,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
113,SF,9R,0,SF-9R-0,Cow Palace,15695,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
114,SF,9R,0,SF-9R-0,Cow Palace,16027,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
115,SF,9R,0,SF-9R-0,Cow Palace,16039,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
116,SF,9R,0,SF-9R-0,Cow Palace,16357,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
117,SF,9R,0,SF-9R-0,Cow Palace,16358,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
118,SF,9R,0,SF-9R-0,Cow Palace,16365,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
119,SF,9R,0,SF-9R-0,Cow Palace,16569,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
120,SF,9R,0,SF-9R-0,Cow Palace,16583,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
121,SF,9R,0,SF-9R-0,Cow Palace,17809,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
122,SF,9R,0,SF-9R-0,Cow Palace,17888,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
123,SF,9R,0,SF-9R-0,Sunnydale,13239,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
124,SF,9R,0,SF-9R-0,Sunnydale,13239,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
125,SF,9R,0,SF-9R-0,Sunnydale,13245,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
126,SF,9R,0,SF-9R-0,Sunnydale,13245,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
127,SF,9R,0,SF-9R-0,Sunnydale,13772,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
128,SF,9R,0,SF-9R-0,Sunnydale,13772,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
129,SF,9R,0,SF-9R-0,Sunnydale,13779,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
130,SF,9R,0,SF-9R-0,Sunnydale,13779,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
131,SF,9R,0,SF-9R-0,Sunnydale,13783,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
132,SF,9R,0,SF-9R-0,Sunnydale,13783,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
133,SF,9R,0,SF-9R-0,Sunnydale,15335,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
134,SF,9R,0,SF-9R-0,Sunnydale,15335,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
135,SF,9R,0,SF-9R-0,Sunnydale,15639,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
136,SF,9R,0,SF-9R-0,Sunnydale,15639,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
137,SF,9R,0,SF-9R-0,Sunnydale,15655,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
138,SF,9R,0,SF-9R-0,Sunnydale,15655,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
139,SF,9R,0,SF-9R-0,Sunnydale,15656,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
140,SF,9R,0,SF-9R-0,Sunnydale,15656,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
141,SF,9R,0,SF-9R-0,Sunnydale,15657,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
142,SF,9R,0,SF-9R-0,Sunnydale,15657,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
143,SF,9R,0,SF-9R-0,Sunnydale,15676,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
144,SF,9R,0,SF-9R-0,Sunnydale,15676,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
145,SF,9R,0,SF-9R-0,Sunnydale,15678,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
146,SF,9R,0,SF-9R-0,Sunnydale,15678,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
147,SF,9R,0,SF-9R-0,Sunnydale,15680,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
148,SF,9R,0,SF-9R-0,Sunnydale,15680,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
149,SF,9R,0,SF-9R-0,Sunnydale,15694,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
150,SF,9R,0,SF-9R-0,Sunnydale,15694,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
151,SF,9R,0,SF-9R-0,Sunnydale,15695,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
152,SF,9R,0,SF-9R-0,Sunnydale,15695,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
153,SF,9R,0,SF-9R-0,Sunnydale,16027,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
154,SF,9R,0,SF-9R-0,Sunnydale,16027,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
155,SF,9R,0,SF-9R-0,Sunnydale,16039,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
156,SF,9R,0,SF-9R-0,Sunnydale,16039,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
157,SF,9R,0,SF-9R-0,Sunnydale,16357,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
158,SF,9R,0,SF-9R-0,Sunnydale,16357,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
159,SF,9R,0,SF-9R-0,Sunnydale,16358,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
160,SF,9R,0,SF-9R-0,Sunnydale,16358,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
161,SF,9R,0,SF-9R-0,Sunnydale,16365,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
162,SF,9R,0,SF-9R-0,Sunnydale,16365,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
163,SF,9R,0,SF-9R-0,Sunnydale,16569,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
164,SF,9R,0,SF-9R-0,Sunnydale,16569,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
165,SF,9R,0,SF-9R-0,Sunnydale,16583,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
166,SF,9R,0,SF-9R-0,Sunnydale,16583,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
167,SF,9R,0,SF-9R-0,Sunnydale,17809,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
168,SF,9R,0,SF-9R-0,Sunnydale,17809,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
169,SF,9R,0,SF-9R-0,Sunnydale,17888,16,PM Peak,NA,Existing/Built,NA,Bus,15,4
170,SF,9R,0,SF-9R-0,Sunnydale,17888,21,AM Peak,NA,Existing/Built,NA,Bus,11,5
171,SF,9R,1,SF-9R-1,Main & Mission,13238,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
172,SF,9R,1,SF-9R-1,Main & Mission,13238,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
173,SF,9R,1,SF-9R-1,Main & Mission,13238,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
174,SF,9R,1,SF-9R-1,Main & Mission,13244,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
175,SF,9R,1,SF-9R-1,Main & Mission,13244,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
176,SF,9R,1,SF-9R-1,Main & Mission,13244,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
177,SF,9R,1,SF-9R-1,Main & Mission,13778,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
178,SF,9R,1,SF-9R-1,Main & Mission,13778,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
179,SF,9R,1,SF-9R-1,Main & Mission,13778,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
180,SF,9R,1,SF-9R-1,Main & Mission,13793,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
181,SF,9R,1,SF-9R-1,Main & Mission,13793,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
182,SF,9R,1,SF-9R-1,Main & Mission,13793,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
183,SF,9R,1,SF-9R-1,Main & Mission,15335,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
184,SF,9R,1,SF-9R-1,Main & Mission,15335,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
185,SF,9R,1,SF-9R-1,Main & Mission,15335,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
186,SF,9R,1,SF-9R-1,Main & Mission,15640,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
187,SF,9R,1,SF-9R-1,Main & Mission,15640,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
188,SF,9R,1,SF-9R-1,Main & Mission,15640,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
189,SF,9R,1,SF-9R-1,Main & Mission,15643,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
190,SF,9R,1,SF-9R-1,Main & Mission,15643,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
191,SF,9R,1,SF-9R-1,Main & Mission,15643,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
192,SF,9R,1,SF-9R-1,Main & Mission,15645,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
193,SF,9R,1,SF-9R-1,Main & Mission,15645,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
194,SF,9R,1,SF-9R-1,Main & Mission,15645,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
195,SF,9R,1,SF-9R-1,Main & Mission,15647,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
196,SF,9R,1,SF-9R-1,Main & Mission,15647,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
197,SF,9R,1,SF-9R-1,Main & Mission,15647,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
198,SF,9R,1,SF-9R-1,Main & Mission,15650,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
199,SF,9R,1,SF-9R-1,Main & Mission,15650,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
200,SF,9R,1,SF-9R-1,Main & Mission,15650,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
201,SF,9R,1,SF-9R-1,Main & Mission,15651,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
202,SF,9R,1,SF-9R-1,Main & Mission,15651,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
203,SF,9R,1,SF-9R-1,Main & Mission,15651,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
204,SF,9R,1,SF-9R-1,Main & Mission,15652,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
205,SF,9R,1,SF-9R-1,Main & Mission,15652,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
206,SF,9R,1,SF-9R-1,Main & Mission,15652,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
207,SF,9R,1,SF-9R-1,Main & Mission,15658,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
208,SF,9R,1,SF-9R-1,Main & Mission,15658,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
209,SF,9R,1,SF-9R-1,Main & Mission,15658,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
210,SF,9R,1,SF-9R-1,Main & Mission,15685,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
211,SF,9R,1,SF-9R-1,Main & Mission,15685,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
212,SF,9R,1,SF-9R-1,Main & Mission,15685,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
213,SF,9R,1,SF-9R-1,Main & Mission,16026,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
214,SF,9R,1,SF-9R-1,Main & Mission,16026,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
215,SF,9R,1,SF-9R-1,Main & Mission,16026,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
216,SF,9R,1,SF-9R-1,Main & Mission,16038,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
217,SF,9R,1,SF-9R-1,Main & Mission,16038,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
218,SF,9R,1,SF-9R-1,Main & Mission,16038,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
219,SF,9R,1,SF-9R-1,Main & Mission,16119,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
220,SF,9R,1,SF-9R-1,Main & Mission,16119,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
221,SF,9R,1,SF-9R-1,Main & Mission,16119,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
222,SF,9R,1,SF-9R-1,Main & Mission,16352,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
223,SF,9R,1,SF-9R-1,Main & Mission,16352,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
224,SF,9R,1,SF-9R-1,Main & Mission,16352,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
225,SF,9R,1,SF-9R-1,Main & Mission,16355,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
226,SF,9R,1,SF-9R-1,Main & Mission,16355,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
227,SF,9R,1,SF-9R-1,Main & Mission,16355,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
228,SF,9R,1,SF-9R-1,Main & Mission,16362,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
229,SF,9R,1,SF-9R-1,Main & Mission,16362,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
230,SF,9R,1,SF-9R-1,Main & Mission,16362,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
231,SF,9R,1,SF-9R-1,Main & Mission,16364,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
232,SF,9R,1,SF-9R-1,Main & Mission,16364,20,PM Peak,NA,Existing/Built,NA,Bus,12,4
233,SF,9R,1,SF-9R-1,Main & Mission,16364,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
