OBJECTID,agency_id,route_id,bus_direct,agency_sto,bus_headsi,stop_name_,bus_total_,bus_peak_p,stop_descr,project_st,project_de,system_typ,bus_headwa,min_headwa
3048,SF,43,1,SF-43-1,Fort Mason,15244,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3049,SF,43,1,SF-43-1,Fort Mason,15245,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3050,SF,43,1,SF-43-1,Fort Mason,15245,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3051,SF,43,1,SF-43-1,Fort Mason,15249,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3052,SF,43,1,SF-43-1,Fort Mason,15249,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3053,SF,43,1,SF-43-1,Fort Mason,15255,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3054,SF,43,1,SF-43-1,Fort Mason,15255,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3055,SF,43,1,SF-43-1,Fort Mason,15258,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3056,SF,43,1,SF-43-1,Fort Mason,15258,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3057,SF,43,1,SF-43-1,Fort Mason,15272,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3058,SF,43,1,SF-43-1,Fort Mason,15272,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3059,SF,43,1,SF-43-1,Fort Mason,15274,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3060,SF,43,1,SF-43-1,Fort Mason,15274,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3061,SF,43,1,SF-43-1,Fort Mason,15283,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3062,SF,43,1,SF-43-1,Fort Mason,15283,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3063,SF,43,1,SF-43-1,Fort Mason,15284,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3064,SF,43,1,SF-43-1,Fort Mason,15284,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3065,SF,43,1,SF-43-1,Fort Mason,15706,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3066,SF,43,1,SF-43-1,Fort Mason,15706,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3067,SF,43,1,SF-43-1,Fort Mason,15709,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3068,SF,43,1,SF-43-1,Fort Mason,15709,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3069,SF,43,1,SF-43-1,Fort Mason,15713,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3070,SF,43,1,SF-43-1,Fort Mason,15713,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3071,SF,43,1,SF-43-1,Fort Mason,15714,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3072,SF,43,1,SF-43-1,Fort Mason,15714,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3073,SF,43,1,SF-43-1,Fort Mason,15716,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3074,SF,43,1,SF-43-1,Fort Mason,15716,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3075,SF,43,1,SF-43-1,Fort Mason,15718,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3076,SF,43,1,SF-43-1,Fort Mason,15718,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3077,SF,43,1,SF-43-1,Fort Mason,15890,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3078,SF,43,1,SF-43-1,Fort Mason,15890,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3079,SF,43,1,SF-43-1,Fort Mason,15892,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3080,SF,43,1,SF-43-1,Fort Mason,15892,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3081,SF,43,1,SF-43-1,Fort Mason,15894,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3082,SF,43,1,SF-43-1,Fort Mason,15894,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3083,SF,43,1,SF-43-1,Fort Mason,15896,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3084,SF,43,1,SF-43-1,Fort Mason,15896,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3085,SF,43,1,SF-43-1,Fort Mason,15898,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3086,SF,43,1,SF-43-1,Fort Mason,15898,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3087,SF,43,1,SF-43-1,Fort Mason,15922,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3088,SF,43,1,SF-43-1,Fort Mason,15922,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3089,SF,43,1,SF-43-1,Fort Mason,15928,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3090,SF,43,1,SF-43-1,Fort Mason,15928,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3091,SF,43,1,SF-43-1,Fort Mason,16088,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3092,SF,43,1,SF-43-1,Fort Mason,16088,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3093,SF,43,1,SF-43-1,Fort Mason,16091,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3094,SF,43,1,SF-43-1,Fort Mason,16091,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3095,SF,43,1,SF-43-1,Fort Mason,16092,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3096,SF,43,1,SF-43-1,Fort Mason,16092,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3097,SF,43,1,SF-43-1,Fort Mason,16098,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3098,SF,43,1,SF-43-1,Fort Mason,16098,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3099,SF,43,1,SF-43-1,Fort Mason,17028,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3100,SF,43,1,SF-43-1,Fort Mason,17028,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3101,SF,43,1,SF-43-1,Fort Mason,17149,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3102,SF,43,1,SF-43-1,Fort Mason,17149,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3103,SF,43,1,SF-43-1,Fort Mason,17687,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
3104,SF,43,1,SF-43-1,Fort Mason,17687,24,PM Peak,NA,Existing/Built,NA,Bus,10,4
3105,SF,43,1,SF-43-1,Fort Mason,17688,24,AM Peak,NA,Existing/Built,NA,Bus,10,5
